model_type,use_momentum,method,init_method,lr,cv_mse,cv_r2
ridge,True,mini,zero,0.01,1.0711223789880986,-0.8326679046460277
ridge,True,mini,zero,0.001,3.1652657712151826,-4.413067399315632
ridge,True,mini,zero,0.0001,87.36845131733516,-148.38333030822272
ridge,True,mini,xavier,0.01,1.0631595617830039,-0.819128081479778
ridge,True,mini,xavier,0.001,3.1505057515209587,-4.386702942975519
ridge,True,mini,xavier,0.0001,88.38059668251117,-150.106083724119
ridge,True,batch,zero,0.01,4.750997865601993,-7.124182045371399
ridge,True,batch,zero,0.001,103.2968533611932,-175.61808938387773
ridge,True,batch,zero,0.0001,158.34670136207998,-269.7437399376569
ridge,True,batch,xavier,0.01,4.821019748494024,-7.246670913974512
ridge,True,batch,xavier,0.001,102.19355032798903,-173.73978145246784
ridge,True,batch,xavier,0.0001,158.03251919233688,-269.238601440281
polynomial,False,sto,zero,0.01,inf,-inf
polynomial,False,sto,zero,0.001,1.4127795207005607e+81,-2.4131761655186304e+81
polynomial,False,sto,zero,0.0001,0.4674727361206179,0.19832014907126316
polynomial,False,sto,xavier,0.01,inf,-inf
polynomial,False,sto,xavier,0.001,2.6869340216767924e+79,-4.52010172127631e+79
polynomial,False,sto,xavier,0.0001,0.4994543536960125,0.14330928900347184
polynomial,False,mini,zero,0.01,8.267599031608205e+95,-1.4121929603172975e+96
polynomial,False,mini,zero,0.001,0.3697482143234951,0.3666258295316693
polynomial,False,mini,zero,0.0001,21.367072532593227,-35.54431445381422
polynomial,False,mini,xavier,0.01,6.877302321278772e+97,-1.1747156444087045e+98
polynomial,False,mini,xavier,0.001,0.37432794886436654,0.3585584231529659
polynomial,False,mini,xavier,0.0001,21.34063612616978,-35.50033217279717
polynomial,False,batch,zero,0.01,0.4049322473661354,0.3059805849623605
polynomial,False,batch,zero,0.001,36.767304004173916,-61.87548541124701
polynomial,False,batch,zero,0.0001,142.6599386469103,-242.92454379871083
polynomial,False,batch,xavier,0.01,0.39344038885660976,0.32619498680278275
polynomial,False,batch,xavier,0.001,36.78343865332521,-61.899081055981405
polynomial,False,batch,xavier,0.0001,142.37602520305964,-242.4373942126674
